label,word,absolute_frequency,relative_frequency
low,configured,14,1.0
low,circumstances,13,1.0
low,opportunistic,10,1.0
low,involving,10,1.0
low,proxy,33,0.9705882352941176
low,mod,79,0.9186046511627907
low,request,69,0.8734177215189873
low,process,20,0.7692307692307693
low,aka,8,0.6666666666666666
low,cve,13,0.5652173913043478
high,trailing,2,1.0
high,mechanisms,2,1.0
high,enable,2,1.0
high,sigusr,2,1.0
high,signal,2,1.0
high,behaviors,2,1.0
high,functions,2,1.0
high,network,2,1.0
high,sniffing,2,1.0
high,count,2,1.0
high,replay,2,1.0
high,received,2,1.0
high,slash,4,0.6666666666666666
high,nonce,2,0.6666666666666666
high,implementation,7,0.5833333333333334
