label,word,absolute_frequency,relative_frequency
local,backend,4,1.0
local,occurred,3,1.0
local,update,2,1.0
local,dependent,2,1.0
local,fixation,2,1.0
local,fnmatch,2,1.0
local,close,2,1.0
local,solaris,2,1.0
local,replace,2,1.0
local,permits,2,1.0
local,temporary,2,1.0
local,cookies,2,1.0
local,openbsd,2,1.0
local,outage,4,0.8
local,malformed,6,0.6666666666666666
local,java,12,0.5454545454545454
global,cache,11,1.0
global,vulnerabilities,11,1.0
global,digest,9,1.0
global,reverse,7,1.0
global,multiple,17,0.9444444444444444
global,module,33,0.75
global,connection,6,0.6
global,applications,8,0.5714285714285714
