label,word,absolute_frequency,relative_frequency
yes,mod,86,1.0
yes,service,79,1.0
yes,denial,79,1.0
yes,properly,45,1.0
yes,execute,16,0.9411764705882353
yes,catalina,11,0.8461538461538461
yes,windows,9,0.75
yes,unix,3,0.75
yes,behaviour,2,0.6666666666666666
yes,csrf,2,0.6666666666666666
no,permissions,2,1.0
no,examples,2,1.0
no,algorithm,1,1.0
no,documentation,1,1.0
no,unexpectedly,1,1.0
no,remained,1,1.0
no,unchanged,1,1.0
no,identify,1,1.0
no,corrected,1,1.0
no,description,1,1.0
no,statusmanagerservlet,1,1.0
no,restrictedservlets,1,1.0
no,tokens,1,1.0
no,establish,1,1.0
no,trojan,1,1.0
no,horse,1,1.0
no,apachectl,1,1.0
no,dso,1,1.0
no,std,1,1.0
no,envvars,1,1.0
no,linux,1,1.0
no,capabilities,1,1.0
no,drop,1,1.0
no,jsvc,1,1.0
no,blank,1,1.0
no,administrative,1,1.0
no,installer,1,1.0
no,logging,1,1.0
no,policy,1,1.0
no,juli,1,1.0
no,changing,1,1.0
no,filehandler,1,1.0
no,snoop,1,1.0
no,snp,1,1.0
no,implicit,1,1.0
no,insensitive,1,1.0
no,alternate,1,1.0
no,uppercase,1,1.0
no,scriptalias,1,1.0
no,illegal,1,1.0
