label,word,absolute_frequency,relative_frequency
no,ssl,13,1.0
no,child,12,1.0
no,privileges,9,1.0
no,mpm,9,1.0
no,pointer,8,1.0
no,dereference,8,1.0
no,based,6,1.0
no,library,6,1.0
no,require,5,1.0
no,leading,5,1.0
no,threaded,5,1.0
no,version,5,1.0
no,crash,24,0.96
no,function,28,0.9032258064516129
no,mod,75,0.872093023255814
no,module,38,0.8636363636363636
no,server,71,0.8160919540229885
no,service,62,0.7848101265822784
no,denial,62,0.7848101265822784
yes,constraints,6,1.0
yes,resource,5,1.0
yes,parser,5,1.0
yes,entity,5,1.0
yes,modify,4,1.0
yes,depending,3,1.0
yes,object,3,1.0
yes,servlets,3,1.0
yes,xxe,3,1.0
yes,external,3,1.0
yes,declaration,3,1.0
yes,exploited,3,1.0
yes,commons,3,1.0
yes,expected,3,1.0
yes,annotations,3,1.0
yes,tld,3,1.0
yes,loaded,3,1.0
yes,series,3,1.0
yes,attributes,3,1.0
yes,unexpected,2,1.0
yes,completed,2,1.0
yes,correct,2,1.0
yes,update,2,1.0
yes,noticed,2,1.0
yes,updated,2,1.0
yes,replacement,2,1.0
yes,releases,2,1.0
yes,trailing,2,1.0
yes,attempts,2,1.0
yes,larger,2,1.0
yes,defaultservlet,2,1.0
yes,xslt,2,1.0
yes,chunkedinputfilter,2,1.0
yes,fileupload,2,1.0
yes,multipartstream,2,1.0
yes,trailer,2,1.0
yes,coded,2,1.0
yes,mechanisms,2,1.0
yes,regression,2,1.0
yes,mix,2,1.0
yes,sniffing,2,1.0
yes,replay,2,1.0
yes,network,2,1.0
yes,discover,2,1.0
yes,requires,2,1.0
yes,permits,2,1.0
yes,replace,2,1.0
yes,tag,2,1.0
yes,permissions,2,1.0
yes,enable,2,1.0
yes,servlet,8,0.8888888888888888
yes,values,7,0.7777777777777778
yes,security,9,0.75
yes,xml,7,0.7
yes,tomcat,72,0.6605504587155964
yes,cve,15,0.6521739130434783
yes,application,25,0.6410256410256411
yes,bypass,22,0.5789473684210527
yes,requests,20,0.5714285714285714
